epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
66,1675.92,0.96878,0.81869,1.44965,0.03233,0.89553,0.90606,0.95016,0.79077,0.64896,0.44567,1.245,0.01529,0.0067825,0.0067825,0.0067825
67,1700.89,0.97896,0.83178,1.45765,0.03249,0.90661,0.89265,0.95,0.78948,0.6495,0.44767,1.24519,0.01609,0.006733,0.006733,0.006733
68,1726.1,0.95593,0.80583,1.44094,0.03068,0.88563,0.90091,0.94691,0.79251,0.64812,0.44859,1.24582,0.01608,0.0066835,0.0066835,0.0066835
69,1751.29,0.97417,0.81537,1.44636,0.03109,0.90761,0.88423,0.9507,0.79687,0.64378,0.44757,1.23752,0.01451,0.006634,0.006634,0.006634
70,1776.74,0.96243,0.80304,1.43795,0.03108,0.90455,0.88274,0.94698,0.7942,0.6435,0.44456,1.24092,0.01457,0.0065845,0.0065845,0.0065845
71,1801.72,0.96085,0.79368,1.4397,0.03155,0.90324,0.88647,0.94749,0.78854,0.64284,0.45301,1.24399,0.01564,0.006535,0.006535,0.006535
72,1826.9,0.96299,0.80159,1.44505,0.03134,0.91214,0.89155,0.94823,0.79329,0.6466,0.44966,1.24306,0.01512,0.0064855,0.0064855,0.0064855
73,1852.12,0.95948,0.79798,1.44076,0.02978,0.91744,0.88357,0.94832,0.79281,0.63828,0.44509,1.23143,0.01523,0.006436,0.006436,0.006436
74,1877.33,0.95429,0.79314,1.43009,0.03052,0.89965,0.89348,0.94886,0.79974,0.63367,0.43805,1.22981,0.01462,0.0063865,0.0063865,0.0063865
75,1902.5,0.957,0.79393,1.44316,0.02969,0.89239,0.90391,0.94967,0.795,0.63577,0.43857,1.23499,0.01454,0.006337,0.006337,0.006337
76,1927.61,0.94295,0.79037,1.42489,0.03039,0.90038,0.89562,0.95115,0.7952,0.63718,0.43914,1.23313,0.0151,0.0062875,0.0062875,0.0062875
77,1953.13,0.94716,0.77529,1.42922,0.03093,0.91946,0.87036,0.94612,0.79695,0.64077,0.44199,1.23647,0.01497,0.006238,0.006238,0.006238
78,1978.3,0.95019,0.78223,1.42627,0.03118,0.89546,0.891,0.94573,0.79279,0.63624,0.4459,1.24652,0.01625,0.0061885,0.0061885,0.0061885
79,2003.36,0.93993,0.78143,1.43111,0.02973,0.88606,0.91186,0.95064,0.79667,0.62918,0.43462,1.23332,0.0149,0.006139,0.006139,0.006139
80,2028.53,0.94661,0.76653,1.4291,0.03131,0.89384,0.90386,0.9483,0.7945,0.635,0.43541,1.24108,0.01376,0.0060895,0.0060895,0.0060895
81,2053.75,0.93,0.76501,1.42046,0.02995,0.92127,0.88893,0.95222,0.80467,0.62584,0.43261,1.23727,0.01474,0.00604,0.00604,0.00604
82,2079.02,0.94443,0.78546,1.42644,0.02971,0.90608,0.88935,0.94799,0.79364,0.63029,0.43242,1.23498,0.01361,0.0059905,0.0059905,0.0059905
83,2104.04,0.93313,0.76893,1.42165,0.03022,0.91854,0.89348,0.95336,0.80159,0.62663,0.43077,1.22803,0.01357,0.005941,0.005941,0.005941
84,2129.17,0.94258,0.77721,1.43509,0.02925,0.90668,0.89051,0.95023,0.79754,0.62679,0.43072,1.23108,0.01364,0.0058915,0.0058915,0.0058915
85,2154.33,0.93806,0.76756,1.42222,0.0292,0.92856,0.86944,0.95344,0.80066,0.63009,0.43021,1.23339,0.0138,0.005842,0.005842,0.005842
86,2179.58,0.92226,0.7611,1.4109,0.02947,0.89701,0.91495,0.955,0.80321,0.62937,0.42864,1.2286,0.01317,0.0057925,0.0057925,0.0057925
87,2204.63,0.91416,0.74059,1.40143,0.02814,0.90945,0.891,0.95333,0.8021,0.62834,0.42744,1.22918,0.01341,0.005743,0.005743,0.005743
88,2229.85,0.91808,0.74857,1.40647,0.02766,0.9221,0.87974,0.95317,0.80312,0.62465,0.42537,1.22847,0.01387,0.0056935,0.0056935,0.0056935
89,2255,0.93425,0.76679,1.4179,0.02888,0.90495,0.89678,0.95382,0.80083,0.63029,0.42214,1.23228,0.01348,0.005644,0.005644,0.005644
90,2280.38,0.92336,0.75156,1.41399,0.02887,0.89997,0.90504,0.95569,0.80607,0.6239,0.4233,1.23259,0.01333,0.0055945,0.0055945,0.0055945
91,2305.56,0.9107,0.74062,1.39724,0.02766,0.89737,0.90091,0.95264,0.80388,0.61968,0.42385,1.22928,0.01246,0.005545,0.005545,0.005545
92,2330.77,0.92215,0.75013,1.40391,0.03014,0.90079,0.8997,0.95424,0.80203,0.62603,0.42117,1.23143,0.01281,0.0054955,0.0054955,0.0054955
93,2355.96,0.9209,0.74805,1.41095,0.0288,0.91096,0.88705,0.95406,0.80141,0.62465,0.4231,1.23667,0.01317,0.005446,0.005446,0.005446
94,2381.4,0.92407,0.74983,1.4188,0.02876,0.92289,0.88357,0.95525,0.80302,0.6231,0.42193,1.23107,0.01378,0.0053965,0.0053965,0.0053965
95,2406.43,0.90974,0.74367,1.39898,0.02866,0.91928,0.89513,0.95501,0.80654,0.62194,0.41954,1.22698,0.01315,0.005347,0.005347,0.005347
96,2431.67,0.90486,0.73587,1.4031,0.02754,0.91568,0.90571,0.95728,0.80498,0.62518,0.41419,1.22763,0.01268,0.0052975,0.0052975,0.0052975
97,2456.88,0.91947,0.74172,1.40797,0.02746,0.91094,0.90421,0.95665,0.80577,0.62562,0.41521,1.22527,0.01299,0.005248,0.005248,0.005248
98,2482.16,0.91553,0.72431,1.40981,0.02758,0.91302,0.90421,0.9557,0.80797,0.62238,0.41496,1.22119,0.01294,0.0051985,0.0051985,0.0051985
99,2507.34,0.92067,0.74268,1.40673,0.02856,0.9185,0.89843,0.9569,0.81001,0.61553,0.41055,1.21569,0.01302,0.005149,0.005149,0.005149
100,2532.7,0.88739,0.72251,1.38313,0.02651,0.91342,0.90606,0.95621,0.80755,0.61529,0.41292,1.21967,0.01286,0.0050995,0.0050995,0.0050995
101,2557.93,0.90046,0.72205,1.39394,0.0275,0.91499,0.90661,0.95631,0.80861,0.61449,0.41506,1.22611,0.0127,0.00505,0.00505,0.00505
102,2583.31,0.90691,0.71924,1.39965,0.02573,0.92648,0.89017,0.9565,0.80916,0.61536,0.4125,1.22272,0.013,0.0050005,0.0050005,0.0050005
103,2608.32,0.8884,0.70285,1.3925,0.02617,0.91225,0.90998,0.95742,0.80891,0.61978,0.40908,1.22238,0.01251,0.004951,0.004951,0.004951
104,2633.48,0.89541,0.72443,1.38514,0.02567,0.9243,0.90339,0.95879,0.80955,0.61731,0.40323,1.22306,0.01227,0.0049015,0.0049015,0.0049015
105,2658.61,0.90771,0.72403,1.40786,0.02729,0.91793,0.90917,0.95958,0.81346,0.61365,0.40479,1.21777,0.01205,0.004852,0.004852,0.004852
106,2684.18,0.89431,0.71878,1.40011,0.02609,0.89963,0.91774,0.95751,0.81185,0.61294,0.40611,1.21904,0.01233,0.0048025,0.0048025,0.0048025
107,2709.26,0.88683,0.71178,1.39053,0.0271,0.92829,0.89182,0.95784,0.81266,0.61313,0.40408,1.21852,0.01204,0.004753,0.004753,0.004753
108,2734.48,0.89176,0.71709,1.38618,0.02601,0.93503,0.891,0.95857,0.81463,0.61473,0.40492,1.21785,0.01201,0.0047035,0.0047035,0.0047035
109,2759.8,0.88372,0.69827,1.38672,0.026,0.93542,0.89017,0.95771,0.81223,0.61471,0.4073,1.21713,0.01237,0.004654,0.004654,0.004654
110,2785.16,0.89265,0.7188,1.38272,0.0265,0.90855,0.91064,0.95875,0.81275,0.61656,0.4062,1.21564,0.01197,0.0046045,0.0046045,0.0046045
111,2810.23,0.88102,0.69616,1.38128,0.02625,0.91119,0.90751,0.95867,0.8115,0.6168,0.40597,1.2187,0.01183,0.004555,0.004555,0.004555
112,2835.34,0.88349,0.69242,1.37701,0.02554,0.92759,0.89914,0.9595,0.81307,0.61562,0.40538,1.21767,0.01208,0.0045055,0.0045055,0.0045055
113,2860.61,0.88663,0.69728,1.38761,0.02606,0.92192,0.89348,0.95907,0.81235,0.61732,0.40645,1.21844,0.01204,0.004456,0.004456,0.004456
114,2886.11,0.8865,0.69347,1.3825,0.02575,0.93492,0.88274,0.959,0.81426,0.61563,0.40334,1.2159,0.0123,0.0044065,0.0044065,0.0044065
115,2911.07,0.89457,0.70633,1.40013,0.02589,0.92115,0.89717,0.95926,0.814,0.61648,0.4062,1.21934,0.01226,0.004357,0.004357,0.004357
116,2936.24,0.86752,0.69633,1.37014,0.02654,0.90308,0.9166,0.95897,0.81423,0.61549,0.40478,1.21652,0.01267,0.0043075,0.0043075,0.0043075
117,2961.37,0.87143,0.69178,1.36949,0.02497,0.92613,0.89032,0.95904,0.81553,0.61304,0.40334,1.21458,0.01258,0.004258,0.004258,0.004258
118,2986.9,0.87837,0.69812,1.38537,0.02566,0.88881,0.92416,0.95938,0.81479,0.61196,0.40099,1.21337,0.01241,0.0042085,0.0042085,0.0042085
119,3011.97,0.88632,0.69595,1.38349,0.02527,0.90796,0.91082,0.95964,0.81586,0.60957,0.39752,1.21077,0.01231,0.004159,0.004159,0.004159
120,3037.26,0.86422,0.67913,1.36794,0.02527,0.90109,0.91495,0.95854,0.81661,0.608,0.39828,1.20921,0.01229,0.0041095,0.0041095,0.0041095
121,3062.57,0.87414,0.69031,1.37632,0.02512,0.91452,0.89761,0.95877,0.81595,0.61019,0.4003,1.21114,0.01215,0.00406,0.00406,0.00406
