epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
100,2555.97,0.82939,0.65478,1.34797,0.01838,0.90673,0.91329,0.95752,0.81305,0.61271,0.39567,1.21105,0.01256,0.0050995,0.0050995,0.0050995
101,2581.41,0.84459,0.65665,1.35891,0.01873,0.90346,0.91193,0.95735,0.81372,0.61163,0.3951,1.21238,0.01194,0.00505,0.00505,0.00505
102,2606.6,0.84958,0.66212,1.36477,0.01816,0.90917,0.90751,0.95769,0.81489,0.61256,0.39542,1.21207,0.0123,0.0050005,0.0050005,0.0050005
103,2631.93,0.84077,0.64946,1.36414,0.01814,0.91576,0.90091,0.95843,0.81553,0.61217,0.39465,1.21211,0.0121,0.004951,0.004951,0.004951
104,2657.21,0.84643,0.65736,1.35897,0.01777,0.92232,0.90202,0.9597,0.81613,0.60919,0.39533,1.20958,0.01194,0.0049015,0.0049015,0.0049015
105,2682.3,0.85003,0.66224,1.37837,0.01804,0.91128,0.91247,0.95898,0.81556,0.60976,0.39474,1.20967,0.01158,0.004852,0.004852,0.004852
106,2707.52,0.84309,0.65235,1.36681,0.01788,0.91099,0.91164,0.95876,0.81347,0.6114,0.39414,1.20984,0.01138,0.0048025,0.0048025,0.0048025
107,2732.74,0.83408,0.63957,1.35107,0.01869,0.91383,0.91071,0.95923,0.81635,0.61023,0.39124,1.20708,0.01128,0.004753,0.004753,0.004753
108,2758.13,0.8399,0.65468,1.35511,0.01799,0.91849,0.91247,0.95969,0.81658,0.6091,0.38983,1.20493,0.01115,0.0047035,0.0047035,0.0047035
109,2783.28,0.83127,0.63758,1.35487,0.01765,0.90687,0.91825,0.96003,0.81773,0.60883,0.39215,1.20565,0.01154,0.004654,0.004654,0.004654
110,2808.56,0.8437,0.65647,1.35856,0.01781,0.90802,0.91329,0.96059,0.81768,0.60911,0.38923,1.20645,0.01175,0.0046045,0.0046045,0.0046045
111,2833.83,0.82375,0.64655,1.34335,0.01809,0.91669,0.90917,0.96151,0.81925,0.60818,0.38803,1.20441,0.01181,0.004555,0.004555,0.004555
112,2859.18,0.82171,0.62751,1.33784,0.01748,0.91896,0.90421,0.96234,0.81931,0.60835,0.3871,1.20548,0.01168,0.0045055,0.0045055,0.0045055
113,2884.58,0.82928,0.63105,1.35512,0.01813,0.91758,0.90751,0.96143,0.81834,0.60787,0.3856,1.20715,0.01161,0.004456,0.004456,0.004456
114,2909.78,0.83008,0.62876,1.34946,0.01795,0.92041,0.90718,0.96182,0.81941,0.60523,0.38553,1.2053,0.01164,0.0044065,0.0044065,0.0044065
115,2934.91,0.83812,0.64115,1.36281,0.01782,0.91445,0.90914,0.9603,0.8173,0.6082,0.38864,1.20538,0.01164,0.004357,0.004357,0.004357
116,2960.09,0.82425,0.63296,1.34412,0.01769,0.90707,0.91074,0.95988,0.81765,0.60795,0.39187,1.20642,0.01147,0.0043075,0.0043075,0.0043075
117,2985.28,0.81738,0.62457,1.33867,0.01765,0.91592,0.90586,0.961,0.81876,0.60534,0.38956,1.2057,0.01151,0.004258,0.004258,0.004258
118,3010.45,0.82171,0.63033,1.35142,0.01786,0.90955,0.91825,0.9624,0.82022,0.60486,0.38711,1.20529,0.01166,0.0042085,0.0042085,0.0042085
119,3035.58,0.8326,0.63281,1.35229,0.01782,0.9149,0.91825,0.96336,0.8207,0.60437,0.38603,1.2061,0.01159,0.004159,0.004159,0.004159
120,3060.96,0.81171,0.61205,1.33583,0.0178,0.90628,0.92634,0.96282,0.81982,0.60477,0.38817,1.20511,0.0115,0.0041095,0.0041095,0.0041095
